edgeID,hour,vehicles
63440,ELEVENPM,90
58967,MIDNIGHT,51
58967,ONEAM,20
58967,TWOAM,17
58967,THREEAM,17
58967,FOURAM,58
58967,FIVEAM,299
58967,SIXAM,812
58967,SEVENAM,2189
58967,EIGHTAM,3601
58967,NINEAM,2337
58967,TENAM,2021
58967,ELEVENAM,2027
58967,NOON,1962
58967,ONEPM,1890
58967,TWOPM,2000
58967,THREEPM,2664
58967,FOURPM,2871
58967,FIVEPM,3243
58967,SIXPM,2437
58967,SEVENPM,1570
58967,EIGHTPM,977
58967,NINEPM,643
58967,TENPM,468
58967,ELEVENPM,244
71429,MIDNIGHT,8
71429,ONEAM,3
71429,TWOAM,2
71429,THREEAM,2
71429,FOURAM,9
71429,FIVEAM,51
71429,SIXAM,138
71429,SEVENAM,373
71429,EIGHTAM,614
71429,NINEAM,398
71429,TENAM,344
71429,ELEVENAM,345
71429,NOON,334
71429,ONEPM,322
71429,TWOPM,341
71429,THREEPM,454
71429,FOURPM,489
71429,FIVEPM,553
71429,SIXPM,415
71429,SEVENPM,267
71429,EIGHTPM,166
71429,NINEPM,109
71429,TENPM,79
71429,ELEVENPM,41
53203,MIDNIGHT,7
53203,ONEAM,3
53203,TWOAM,2
53203,THREEAM,2
53203,FOURAM,8
53203,FIVEAM,45
53203,SIXAM,124
53203,SEVENAM,335
53203,EIGHTAM,552
53203,NINEAM,358
53203,TENAM,310
53203,ELEVENAM,311
53203,NOON,301
53203,ONEPM,290
53203,TWOPM,306
53203,THREEPM,408
53203,FOURPM,440
53203,FIVEPM,497
53203,SIXPM,374
53203,SEVENPM,240
53203,EIGHTPM,150
53203,NINEPM,98
53203,TENPM,71
53203,ELEVENPM,37
67730,MIDNIGHT,14
67730,ONEAM,5
67730,TWOAM,4
67730,THREEAM,4
67730,FOURAM,16
67730,FIVEAM,83
67730,SIXAM,226
67730,SEVENAM,611
67730,EIGHTAM,1006
67730,NINEAM,653
67730,TENAM,564
67730,ELEVENAM,566
67730,NOON,548
67730,ONEPM,528
67730,TWOPM,558
67730,THREEPM,744
67730,FOURPM,802
67730,FIVEPM,906
67730,SIXPM,680
67730,SEVENPM,438
67730,EIGHTPM,273
67730,NINEPM,179
67730,TENPM,130
67730,ELEVENPM,68
71094,MIDNIGHT,65
71094,ONEAM,26
71094,TWOAM,21
71094,THREEAM,21
71094,FOURAM,74
71094,FIVEAM,378
71094,SIXAM,1027
71094,SEVENAM,2770
71094,EIGHTAM,4556
71094,NINEAM,2957
71094,TENAM,2556
71094,ELEVENAM,2565
71094,NOON,2482
71094,ONEPM,2391
71094,TWOPM,2530
71094,THREEPM,3371
71094,FOURPM,3632
71094,FIVEPM,4103
71094,SIXPM,3083
71094,SEVENPM,1986
71094,EIGHTPM,1237
71094,NINEPM,814
71094,TENPM,592
71094,ELEVENPM,309
73222,MIDNIGHT,39
73222,ONEAM,15
73222,TWOAM,13
73222,THREEAM,13
73222,FOURAM,45
73222,FIVEAM,231
73222,SIXAM,626
73222,SEVENAM,1689
73222,EIGHTAM,2778
73222,NINEAM,1803
73222,TENAM,1559
73222,ELEVENAM,1564
73222,NOON,1513
73222,ONEPM,1458
73222,TWOPM,1543
73222,THREEPM,2055
73222,FOURPM,2215
73222,FIVEPM,2501
73222,SIXPM,1880
73222,SEVENPM,1211
73222,EIGHTPM,754
73222,NINEPM,496
73222,TENPM,361
73222,ELEVENPM,188
73221,MIDNIGHT,30
73221,ONEAM,12
73221,TWOAM,10
73221,THREEAM,10
73221,FOURAM,34
73221,FIVEAM,178
73221,SIXAM,483
73221,SEVENAM,1303
